Endereço,Bairro,VT,Área,Vap,Quartos,Banheiros,Vagas,Alto PC,Baixo PC,Varanda,Fundos,Dependências,Condomínio,Pavimento,VU,Fonte,Imobiliária,Atualizado,Link
Rua Cosme Velho,Cosme Velho,710000,87,3771.38,2,2,1,0,0,0,1,1,907,,8160.91954022989,Zap,Acesse,,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-cosme-velho-zona-sul-rio-de-janeiro-rj-87m2-id-2499694576/
"Rua Cosme Velho, 147",Cosme Velho,2000000,192,3795.13,4,4,3,0,0,1,0,1,3042,2,10416.6666666667,Zap,Foco,01/11/2021,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-elevador-cosme-velho-zona-sul-rio-de-janeiro-rj-192m2-id-2491000995/
"Rua Efigênio Sales, 180",Cosme Velho,1000000,137,3536.78,3,2,1,0,0,1,1,0,1280,,7299.2700729927,Zap,Julio Bogorocin,,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-tv-a-cabo-cosme-velho-zona-sul-rio-de-janeiro-rj-137m2-id-2476932080/
Rua Cosme Velho,Cosme Velho,870000,81,3795.13,2,2,2,1,0,0,1,1,967,,10740.7407407407,Zap,Nova Época,,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-elevador-cosme-velho-zona-sul-rio-de-janeiro-rj-81m2-id-2457339612/
Rua Filinto de Almeida,Cosme Velho,450000,57,3295.39,2,1,0,0,1,0,1,1,550,,7894.73684210526,Zap,Maria de Fátima,,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-cosme-velho-zona-sul-rio-de-janeiro-rj-57m2-id-2441651179/
Rua Marechal Pires Ferreira,Cosme Velho,890000,70,3980.89,2,3,1,1,0,0,1,0,800,,12714.2857142857,Zap,Twogether,,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-ar-condicionado-cosme-velho-zona-sul-rio-de-janeiro-rj-70m2-id-2477013710/
Rua Cosme Velho,Cosme Velho,640000,60,3771.38,2,1,0,0,0,0,1,0,402,,10666.6666666667,Zap,Brasil Brokers,07/14/2020,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-tv-a-cabo-cosme-velho-zona-sul-rio-de-janeiro-rj-60m2-id-2488261229/
"Rua Cosme Velho, 315",Cosme Velho,790000,87,3795.13,2,2,1,0,0,0,0,1,907,,9080.45977011494,Zap,Nova Aliança,01/11/2021,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-elevador-cosme-velho-zona-sul-rio-de-janeiro-rj-87m2-id-2491326851/
"Rua Cosme Velho, 415",Cosme Velho,1350000,105,3795.13,3,2,2,1,0,1,1,1,1100,,12857.1428571429,Zap,Nova Aliança,01/11/2021,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-cosme-velho-zona-sul-rio-de-janeiro-rj-105m2-id-2431931092/
"Rua Cosme Velho, 415",Cosme Velho,1030000,80,3795.13,2,2,1,0,0,1,1,1,1106,,12875,Zap,Lar de Carioca,01/11/2021,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-elevador-cosme-velho-zona-sul-rio-de-janeiro-rj-80m2-id-2506839778/
"Rua Ererê, 20",Cosme Velho,1500000,127,3771.38,3,3,3,1,0,1,1,1,1333,,11811.0236220472,Zap,Julio Bogorocin,,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-cosme-velho-zona-sul-rio-de-janeiro-rj-127m2-id-2499135413/
"Rua Cosme Velho, 415",Cosme Velho,1280000,80,3795.13,3,2,2,1,0,1,0,1,1540,9,16000,Zap,Privilégio,,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-cosme-velho-zona-sul-rio-de-janeiro-rj-80m2-id-2490604886/
Rua Cosme Velho,Cosme Velho,960000,123,,3,2,2,0,1,1,1,1,1800,,7804.87804878049,Zap,Privilégio,,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-cosme-velho-zona-sul-rio-de-janeiro-rj-123m2-id-2490603993/
"Rua Cosme Velho, 315",Cosme Velho,680000,90,3795.13,2,2,1,0,1,0,1,1,800,,7555.55555555556,Zap,Twogether,,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-cosme-velho-zona-sul-rio-de-janeiro-rj-90m2-id-2501373613/
"Rua Cosme Velho, 147",Cosme Velho,2100000,192,3795.13,4,4,3,0,0,1,0,1,2780,,10937.5,Zap,Bolsa de Negócios,,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-elevador-cosme-velho-zona-sul-rio-de-janeiro-rj-192m2-id-2498275272/
"Rua Marechal Pires Ferreira, 63",Cosme Velho,2400000,195,3980.89,4,3,3,1,0,1,1,1,1910,,12307.6923076923,Zap,Julio Bogorocin,,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-mobiliado-cosme-velho-zona-sul-rio-de-janeiro-rj-195m2-id-2499936960/
Praça São Judas Tadeu,Cosme Velho,990000,130,3771.38,3,3,2,0,1,0,0,0,1528,,7615.38461538462,Zap,Nova Aliança,01/11/2021,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-cosme-velho-zona-sul-rio-de-janeiro-rj-130m2-id-2171205487/
"Rua Cosme Velho, 67",Cosme Velho,750000,95,3795.13,2,2,1,0,0,0,1,1,1591,,7894.73684210526,Zap,Julio Bogorocin,,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-elevador-cosme-velho-zona-sul-rio-de-janeiro-rj-95m2-id-2499937812/
"Rua Cosme Velho, 315",Cosme Velho,800000,81,3795.13,2,1,1,1,0,0,1,1,770,,9876.54320987654,Zap,Brasil Brokers,,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-elevador-cosme-velho-zona-sul-rio-de-janeiro-rj-81m2-id-2481502343/
"Rua Cosme Velho, 318",Cosme Velho,1200000,111,3795.13,3,2,2,0,0,1,1,1,1400,,10810.8108108108,Zap,Nova Época,,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-cosme-velho-zona-sul-rio-de-janeiro-rj-111m2-id-2465086775/
Rua Efigênio Sales,Cosme Velho,590000,77,3536.78,2,1,0,0,0,0,1,0,500,,7662.33766233766,Zap,Rafaella Coelho,,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-armario-de-cozinha-cosme-velho-zona-sul-rio-de-janeiro-rj-77m2-id-2490326454/
